Code,Species name,Wd
1,Acacia dudgeoni,0.72
2,Acacia gourmaensis,0.74
3,Acacia macrostachya,0.74
5,Acacia seyal,0.73
7,Albizia chevalieri,0.64
8,Anogeissus leiocarpus,0.74
9,Balanites aegyptiaca,0.67
10,Bombax costatum,0.30
13,Burkea africana,0.62
14,Cassia siberiana,0.72
15,Combretum fragrans ,0.64
16,Combretum glutinosum,0.69
17,Combretum micranthum,0.76
18,Combretum nigricans,0.76
20,Crossopteryx febrifuga,0.62
22,Detarium microcarpum,0.55
23,Dicrostachys cinerea,0.86
24,Diospyros mespiliformis,0.73
25,Entada africana,0.52
26,Feretia apodanthera,0.68
28,Grewia bicolor,0.78
31,Guiera senegalensis,0.66
32,Lannea acida,0.46
33,Lannea microcarpa,0.46
36,Parkia biglobosa,0.51
38,Piliostigma thonningii,0.68
39,Prosopis africana,0.69
41,Pterocarpus erinaceus,0.65
44,Sterculia setigera,0.31
45,Stereospermum kunthianum,0.64
46,Strychnos spinosa,0.69
47,Tamarindus indica,0.76
48,Terminalia avicennoides,0.64
49,Terminalia laxiflora,0.66
50,Terminalia macroptera,0.61
51,Vitellaria paradoxa,0.69
52,Xeroderris stuhlmannii,0.57
53,Ximenia americana,0.64
56,Pericopsis laxiflora,0.69
57,Combretum molle,0.76
58,Bridelia ferriginia,0.57
59,Acacia pennata,0.74
60,Cassia singueana,0.69
61,Pteleopsis suberosa,0.63
62,Afzelia africana,0.70
63,Securidaca longepedunculata,0.88
64,Bridelia scleroneura,0.57
65,Maytenus senegalensis,0.71
66,Khaya senegalensis,0.64
67,Vitex doniana,0.54
68,Ozoroa insignis,0.72
69,Pseudocedrela kotschyi,0.62
70,Annona senegalensis,0.51
71,Daniellia oliveri,0.50
74,Lonchocarpus laxiflorus,0.75
75,Albizia malacophylla,0.56
76,Margaritaria discoidea,0.74
77,Hannoa undulata,0.28
78,Swartzia madagascarensis,0.91
79,Gliricidia sepium,0.65
80,Unknown,0.65
