Cluster ID,Plot ID,Subplot,Count,DBH (cm)
1,1,1,1,6.2
1,1,2,1,4.0
1,5,1,1,7.5
1,9,1,2,9.4
1,9,4,1,4.3
2,5,1,2,7.0
2,5,2,1,6.5
2,5,3,1,10.0
2,5,3,2,4.6
2,5,3,2,8.5
2,9,2,1,5.7
3,1,4,1,4.7
3,4,1,1,8.5
3,9,2,1,4.0
4,2,2,1,7.0
4,4,1,1,6.5
4,9,3,1,8.5
4,9,4,1,7.5
4,10,2,1,10.0
5,1,2,1,8.5
5,5,4,1,6.5
6,2,3,1,7.5
6,7,1,1,10.0
7,1,3,1,4.5
7,5,2,1,6.4
7,8,2,2,5.4
7,8,3,2,5.4
7,8,4,1,6.5
8,1,1,1,4.2
8,7,1,1,7.6
8,8,2,1,6.4
8,8,3,1,9.8
8,8,4,1,6.8
8,12,3,1,9.3
9,2,1,1,10.0
9,3,2,1,9.1
9,8,1,2,8.5
9,8,3,1,5.5
9,10,3,1,8.6
10,1,1,1,7.5
10,1,2,1,8.4
10,2,4,1,8.5
10,3,3,1,6.5
10,4,1,1,8.0
10,4,2,1,4.3
10,5,1,1,4.0
11,1,2,1,5.0
11,4,4,1,6.5
12,1,3,2,5.6
12,1,4,1,5.9
12,2,4,4,6.2
12,4,2,1,8.3
12,7,4,3,4.2
12,8,1,2,5.2
12,8,2,3,9.4
12,8,4,9,6.4
12,9,1,1,5.4
12,9,2,2,7.3
13,2,1,5,9.0
13,2,2,2,4.1
13,3,1,2,7.7
13,4,1,1,4.0
13,4,4,2,6.4
13,6,2,1,7.4
13,8,1,2,7.0
13,9,1,1,6.5
14,2,3,1,6.4
14,3,1,1,5.0
14,10,1,2,7.6
14,11,1,3,10.0
15,8,4,1,5.6
15,9,1,2,7.2
15,10,4,1,9.5
16,1,2,1,4.0
16,1,3,2,9.2
16,1,4,3,4.2
16,7,2,1,8.0
16,10,1,1,6.0
16,10,2,1,9.3
16,10,4,4,7.5
16,10,3,2,6.4
16,10,3,2,7.3
16,10,3,2,6.0
16,10,3,2,5.0
16,10,4,3,6.0
